class,finger1x,finger1y,finger1z,finger2x,finger2y,finger2z,finger3x,finger3y,finger3z,finger4x,finger4y,finger4z,finger5x,finger5y,finger5z
1,-89.3777,83.6335,-1.57984,-92.0986,85.766,21.8079,-85.6942,91.2883,35.2799,-72.4257,102.879,37.9758,-57.5796,110.21,36.5434
1,-89.8354,83.175,-0.396976,-92.0376,85.3743,22.4296,-86.1073,90.8814,35.8853,-72.7812,102.571,38.5568,-57.9167,109.994,36.9282
1,-90.339,82.5817,0.987594,-91.9739,84.9876,23.0421,-86.3474,90.5192,36.3763,-73.0057,102.256,39.0442,-58.1015,109.688,37.2636
1,-90.7837,81.963,2.33643,-91.9128,84.6391,23.6008,-86.4552,90.18,36.8334,-73.1181,101.906,39.5163,-58.1702,109.248,37.6583
1,-91.1431,81.4337,3.46595,-91.8647,84.3514,24.0693,-86.5251,89.9147,37.2046,-73.1888,101.599,39.9253,-58.212,108.824,38.0466
1,-91.3986,81.0504,4.28345,-91.8331,84.1337,24.4314,-86.5707,89.7244,37.4957,-73.2296,101.355,40.2652,-58.2359,108.458,38.4086
1,-91.591,80.7633,4.88615,-91.8142,83.9524,24.7313,-86.6169,89.5814,37.7126,-73.2754,101.165,40.5281,-58.2879,108.17,38.7026
1,-91.7572,80.5165,5.39242,-91.8023,83.7783,25.0178,-86.6656,89.4639,37.8886,-73.3256,101.013,40.7387,-58.3572,107.948,38.9385
1,-91.9284,80.2678,5.89049,-91.7993,83.589,25.3318,-86.726,89.3557,38.0559,-73.3884,100.883,40.9283,-58.4523,107.771,39.1488
1,-92.1214,79.9918,6.42891,-91.8058,83.384,25.6792,-86.7958,89.2554,38.2203,-73.459,100.768,41.1059,-58.5633,107.619,39.3441
1,-92.3427,79.6851,7.01732,-91.8265,83.1445,26.0927,-86.8784,89.1575,38.3891,-73.5408,100.656,41.2826,-58.6956,107.471,39.5369
1,-92.6299,79.3114,7.72128,-91.8899,82.7707,26.7475,-87.0128,89.0381,38.6002,-73.6732,100.52,41.4981,-58.891,107.308,39.7357
1,-93,78.8618,8.55334,-92.0401,82.1851,27.7877,-87.2283,88.8933,38.861,-73.8739,100.361,41.7411,-59.1387,107.152,39.8941
1,-93.2031,78.6254,8.9827,-92.1518,81.8346,28.4127,-87.3541,88.8254,38.9801,-73.9785,100.294,41.8339,-59.2515,107.095,39.9288
1,-93.2031,78.6254,8.9827,-92.1518,81.8346,28.4127,-87.3541,88.8254,38.9801,-73.9785,100.294,41.8339,-59.2515,107.095,39.9288
1,-93.9221,77.8717,10.3354,-92.7678,80.4644,30.7923,-87.9697,88.58,39.3864,-74.5391,100.056,42.1717,-59.8446,106.952,40.0272
1,-94.2668,77.5586,10.8843,-93.0913,79.954,31.6011,-88.2982,88.4816,39.503,-74.857,99.9637,42.264,-60.1897,106.922,39.9994
1,-94.6096,77.2822,11.3277,-93.4467,79.5187,32.0976,-88.7323,88.3533,39.5411,-75.3708,99.8734,42.3004,-60.8297,106.977,39.9068
1,-95.0079,77.0272,11.7605,-93.7681,79.1771,32.3792,-89.1836,88.2157,39.5106,-75.9438,99.767,42.259,-61.5885,107.038,39.7027
